a,b,c
0.133,0.708,0.159
0.133,0.708,0.159
0.133,0.708,0.159
0.252,0.748,0.0
0.133,0.708,0.159
0.0,0.759,0.241
0.133,0.708,0.159
0.133,0.708,0.159
0.133,0.708,0.159
0.054,0.8,0.146
0.054,0.8,0.146
0.0,1.0,0.0
0.0,0.617,0.383
0.0,1.0,0.0
0.0,0.799,0.201
0.0,1.0,0.0
0.206,0.505,0.289
0.0,1.0,0.0
0.054,0.8,0.146
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.781,0.219
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.841,0.159
0.0,1.0,0.0
0.103,0.802,0.095
0.0,0.724,0.276
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.864,0.136
0.0,1.0,0.0
0.393,0.607,0.0
0.227,0.687,0.086
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.196,0.634,0.17
0.107,0.634,0.259
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.93,0.07
0.0,0.93,0.07
0.156,0.844,0.0
0.0,1.0,0.0
0.135,0.865,0.0
0.0,0.847,0.153
0.0,0.864,0.136
0.0,0.864,0.136
0.055,0.908,0.037
0.0,1.0,0.0
0.081,0.807,0.111
0.176,0.824,0.0
0.128,0.654,0.218
0.128,0.654,0.218
0.0,1.0,0.0
0.054,0.8,0.146
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.054,0.8,0.146
0.0,0.916,0.084
0.227,0.687,0.086
0.227,0.687,0.086
0.227,0.687,0.086
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.227,0.687,0.086
0.083,0.917,0.0
0.0,0.774,0.226
0.0,0.774,0.226
0.0,1.0,0.0
0.238,0.762,0.0
0.0,0.881,0.119
0.099,0.822,0.079
0.0,0.591,0.409
0.0,1.0,0.0
0.0,1.0,0.0
0.238,0.762,0.0
0.0,0.865,0.135
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.845,0.155
0.238,0.762,0.0
0.0,1.0,0.0
0.238,0.762,0.0
0.115,0.885,0.0
0.143,0.857,0.0
0.123,0.778,0.099
0.0,0.885,0.115
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.13,0.8,0.07
0.244,0.756,0.0
0.076,0.791,0.133
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.416,0.584,0.0
0.13,0.87,0.0
0.115,0.885,0.0
0.39,0.483,0.128
0.115,0.885,0.0
0.115,0.885,0.0
0.163,0.837,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.349,0.651,0.0
0.07,0.862,0.068
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.0,0.84,0.16
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.119,0.722,0.158
0.247,0.685,0.068
0.047,0.88,0.072
0.0,1.0,0.0
0.189,0.811,0.0
0.189,0.811,0.0
0.257,0.743,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.081,0.86,0.059
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.122,0.878,0.0
0.199,0.801,0.0
0.216,0.784,0.0
0.119,0.881,0.0
0.0,1.0,0.0
0.0,0.857,0.143
0.0,1.0,0.0
0.106,0.894,0.0
0.0,0.909,0.091
0.0,1.0,0.0
0.0,1.0,0.0
0.18,0.82,0.0
0.0,1.0,0.0
0.031,0.734,0.235
0.0,1.0,0.0
0.327,0.673,0.0
0.112,0.888,0.0
0.116,0.884,0.0
0.119,0.881,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.083,0.917,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.0,0.912,0.088
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.15,0.85,0.0
0.119,0.881,0.0
0.116,0.884,0.0
0.112,0.888,0.0
0.0,1.0,0.0
0.114,0.845,0.041
0.13,0.87,0.0
0.084,0.916,0.0
0.149,0.791,0.06
0.115,0.885,0.0
0.123,0.778,0.099
0.0,0.885,0.115
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.13,0.87,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.349,0.651,0.0
0.07,0.862,0.068
0.115,0.885,0.0
0.115,0.885,0.0
0.115,0.885,0.0
0.247,0.685,0.068
0.189,0.811,0.0
0.189,0.811,0.0
0.257,0.743,0.0
0.074,0.799,0.127
0.216,0.784,0.0
0.119,0.881,0.0
0.059,0.697,0.245
0.059,0.697,0.245
0.059,0.697,0.245
0.059,0.697,0.245
0.327,0.673,0.0
0.112,0.888,0.0
0.116,0.884,0.0
0.119,0.881,0.0
0.119,0.881,0.0
0.116,0.884,0.0
0.112,0.888,0.0
0.114,0.845,0.041
0.13,0.87,0.0
0.166,0.834,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.166,0.834,0.0
0.0,0.95,0.05
0.0,0.801,0.199
0.166,0.834,0.0
0.0,0.907,0.093
0.0,1.0,0.0
0.038,0.644,0.318
0.166,0.834,0.0
0.054,0.83,0.116
0.0,0.95,0.05
0.0,0.603,0.397
0.166,0.834,0.0
0.0,0.603,0.397
0.0,0.95,0.05
0.189,0.749,0.062
0.0,1.0,0.0
0.0,0.934,0.066
0.0,0.95,0.05
0.0,0.907,0.093
0.151,0.546,0.303
0.0,0.603,0.397
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.907,0.093
0.0,0.95,0.05
0.0,0.952,0.048
0.0,0.865,0.135
0.0,0.907,0.093
0.0,1.0,0.0
0.0,0.907,0.093
0.0,0.724,0.276
0.0,1.0,0.0
0.0,0.793,0.207
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.166,0.834,0.0
0.202,0.798,0.0
0.166,0.834,0.0
0.0,0.907,0.093
0.0,0.907,0.093
0.0,0.758,0.242
0.166,0.834,0.0
0.0,0.907,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.086,0.914,0.0
0.176,0.67,0.153
0.0,0.907,0.093
0.0,1.0,0.0
0.124,0.876,0.0
0.0,1.0,0.0
0.0,0.95,0.05
0.0,0.907,0.093
0.0,1.0,0.0
0.0,0.907,0.093
0.0,0.902,0.098
0.0,1.0,0.0
0.0,0.899,0.101
0.0,0.946,0.054
0.0,1.0,0.0
0.0,0.907,0.093
0.0,1.0,0.0
0.0,0.865,0.135
0.124,0.876,0.0
0.0,0.907,0.093
0.0,0.95,0.05
0.166,0.834,0.0
0.0,0.907,0.093
0.0,0.907,0.093
0.0,1.0,0.0
0.107,0.65,0.243
0.0,0.907,0.093
0.0,0.95,0.05
0.039,0.961,0.0
0.107,0.832,0.061
0.0,0.95,0.05
0.0,1.0,0.0
0.0,0.95,0.05
0.0,0.907,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.847,0.153
0.041,0.909,0.05
0.0,0.907,0.093
0.0,0.907,0.093
0.166,0.834,0.0
0.0,0.907,0.093
0.0,1.0,0.0
0.0,0.691,0.309
0.0,0.926,0.074
0.0,1.0,0.0
0.0,1.0,0.0
0.166,0.834,0.0
0.0,0.95,0.05
0.132,0.868,0.0
0.0,1.0,0.0
0.066,0.934,0.0
0.066,0.729,0.206
0.166,0.834,0.0
0.0,0.9,0.1
0.166,0.834,0.0
0.0,1.0,0.0
0.039,0.961,0.0
0.0,1.0,0.0
0.039,0.961,0.0
0.0,0.95,0.05
0.0,0.907,0.093
0.211,0.789,0.0
0.0,1.0,0.0
0.0,0.907,0.093
0.189,0.749,0.062
0.0,1.0,0.0
0.0,0.907,0.093
0.277,0.723,0.0
0.054,0.946,0.0
0.0,0.907,0.093
0.0,0.907,0.093
0.0,1.0,0.0
0.0,0.865,0.135
0.189,0.749,0.062
0.0,0.907,0.093
0.0,0.907,0.093
0.0,1.0,0.0
0.059,0.941,0.0
0.0,0.907,0.093
0.0,0.907,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.907,0.093
0.166,0.834,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.907,0.093
0.0,0.915,0.085
0.0,0.865,0.135
0.0,0.926,0.074
0.167,0.795,0.038
0.0,1.0,0.0
0.13,0.87,0.0
0.046,0.746,0.208
0.0,0.907,0.093
0.0,1.0,0.0
0.189,0.749,0.062
0.0,0.946,0.054
0.048,0.952,0.0
0.166,0.834,0.0
0.066,0.934,0.0
0.0,0.907,0.093
0.0,0.921,0.079
0.0,1.0,0.0
0.166,0.834,0.0
0.065,0.935,0.0
0.0,0.907,0.093
0.189,0.749,0.062
0.166,0.834,0.0
0.0,1.0,0.0
0.0,0.934,0.066
0.0,0.821,0.179
0.189,0.749,0.062
0.166,0.834,0.0
0.0,0.946,0.054
0.166,0.834,0.0
0.166,0.834,0.0
0.0,0.907,0.093
0.0,0.934,0.066
0.0,0.691,0.309
0.0,1.0,0.0
0.0,0.907,0.093
0.166,0.834,0.0
0.0,0.926,0.074
0.0,1.0,0.0
0.048,0.694,0.258
0.0,1.0,0.0
0.078,0.891,0.03
0.166,0.834,0.0
0.166,0.834,0.0
0.039,0.961,0.0
0.166,0.834,0.0
0.0,1.0,0.0
0.048,0.694,0.258
0.0,1.0,0.0
0.0,0.865,0.135
0.0,0.907,0.093
0.166,0.834,0.0
0.166,0.834,0.0
0.0,1.0,0.0
0.166,0.834,0.0
0.0,0.907,0.093
0.0,0.907,0.093
0.166,0.834,0.0
0.0,1.0,0.0
0.055,0.79,0.156
0.0,0.92,0.08
0.0,0.8,0.2
0.0,1.0,0.0
0.0,1.0,0.0
0.217,0.73,0.053
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.166,0.834,0.0
0.0,1.0,0.0
0.0,0.907,0.093
0.166,0.834,0.0
0.0,0.907,0.093
0.078,0.891,0.03
0.0,0.907,0.093
0.166,0.834,0.0
0.166,0.834,0.0
0.0,0.907,0.093
0.166,0.834,0.0
0.166,0.834,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.485,0.515
0.0,0.957,0.043
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.907,0.093
0.0,0.907,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.166,0.834,0.0
0.0,0.865,0.135
0.0,0.907,0.093
0.166,0.834,0.0
0.0,1.0,0.0
0.217,0.73,0.053
0.139,0.861,0.0
0.0,0.907,0.093
0.0,1.0,0.0
0.166,0.834,0.0
0.0,0.865,0.135
0.0,1.0,0.0
0.0,0.907,0.093
0.0,0.764,0.236
0.0,1.0,0.0
0.0,0.946,0.054
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.907,0.093
0.189,0.749,0.062
0.0,0.476,0.524
0.241,0.759,0.0
0.161,0.743,0.097
0.0,0.865,0.135
0.0,0.823,0.177
0.0,0.907,0.093
0.233,0.767,0.0
0.166,0.834,0.0
0.0,1.0,0.0
0.0,0.656,0.344
0.058,0.942,0.0
0.0,0.823,0.177
0.0,0.907,0.093
0.0,0.907,0.093
0.0,1.0,0.0
0.0,0.865,0.135
0.0,0.902,0.098
0.0,1.0,0.0
0.168,0.787,0.045
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.916,0.084
0.0,1.0,0.0
0.0,1.0,0.0
0.141,0.751,0.108
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.907,0.093
0.0,1.0,0.0
0.166,0.834,0.0
0.0,1.0,0.0
0.233,0.767,0.0
0.038,0.644,0.318
0.0,0.907,0.093
0.0,1.0,0.0
0.0,0.865,0.135
0.166,0.834,0.0
0.038,0.644,0.318
0.0,0.907,0.093
0.0,1.0,0.0
0.166,0.834,0.0
0.141,0.751,0.108
0.0,1.0,0.0
0.0,0.865,0.135
0.0,0.865,0.135
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.691,0.309
0.039,0.961,0.0
0.0,1.0,0.0
0.166,0.834,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.06,0.94,0.0
0.039,0.961,0.0
0.0,0.865,0.135
0.0,0.907,0.093
0.0,0.907,0.093
0.166,0.834,0.0
0.048,0.952,0.0
0.038,0.644,0.318
0.0,1.0,0.0
0.0,0.907,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.865,0.135
0.0,1.0,0.0
0.039,0.961,0.0
0.0,0.921,0.079
0.166,0.834,0.0
0.0,0.946,0.054
0.0,0.907,0.093
0.0,0.907,0.093
0.0,0.907,0.093
0.306,0.694,0.0
0.166,0.834,0.0
0.0,0.934,0.066
0.0,0.947,0.053
0.0,1.0,0.0
0.0,0.907,0.093
0.0,0.907,0.093
0.0,0.907,0.093
0.038,0.644,0.318
0.0,0.81,0.19
0.163,0.837,0.0
0.0,0.907,0.093
0.166,0.834,0.0
0.233,0.767,0.0
0.0,1.0,0.0
0.0,0.865,0.135
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.865,0.135
0.0,1.0,0.0
0.039,0.961,0.0
0.166,0.834,0.0
0.306,0.694,0.0
0.0,0.485,0.515
0.0,1.0,0.0
0.0,0.926,0.074
0.0,0.907,0.093
0.217,0.73,0.053
0.0,0.907,0.093
0.2,0.8,0.0
0.0,0.907,0.093
0.0,1.0,0.0
0.0,0.74,0.26
0.0,1.0,0.0
0.0,1.0,0.0
0.166,0.834,0.0
0.0,0.881,0.119
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.691,0.309
0.0,1.0,0.0
0.124,0.876,0.0
0.095,0.861,0.044
0.0,1.0,0.0
0.0,0.865,0.135
0.0,0.907,0.093
0.34,0.66,0.0
0.0,0.907,0.093
0.0,1.0,0.0
0.189,0.749,0.062
0.0,0.907,0.093
0.0,1.0,0.0
0.0,0.907,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.865,0.135
0.0,1.0,0.0
0.0,0.907,0.093
0.0,0.907,0.093
0.0,0.912,0.088
0.0,0.934,0.066
0.0,1.0,0.0
0.126,0.874,0.0
0.0,1.0,0.0
0.0,0.973,0.027
0.0,0.907,0.093
0.166,0.834,0.0
0.112,0.888,0.0
0.0,0.865,0.135
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.913,0.087
0.0,1.0,0.0
0.0,0.913,0.087
0.0,1.0,0.0
0.0,0.886,0.114
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.907,0.093
0.0,0.926,0.074
0.0,0.947,0.053
0.038,0.962,0.0
0.166,0.834,0.0
0.0,0.907,0.093
0.0,0.907,0.093
0.189,0.749,0.062
0.0,1.0,0.0
0.0,0.865,0.135
0.0,0.907,0.093
0.0,1.0,0.0
0.0,0.934,0.066
0.2,0.8,0.0
0.0,1.0,0.0
0.167,0.795,0.038
0.0,0.865,0.135
0.0,1.0,0.0
0.0,0.907,0.093
0.0,1.0,0.0
0.0,0.907,0.093
0.166,0.834,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.038,0.644,0.318
0.0,1.0,0.0
0.0,0.865,0.135
0.0,1.0,0.0
0.0,1.0,0.0
0.203,0.753,0.044
0.0,1.0,0.0
0.166,0.834,0.0
0.233,0.767,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.865,0.135
0.0,1.0,0.0
0.166,0.834,0.0
0.0,1.0,0.0
0.0,0.907,0.093
0.0,0.865,0.135
0.0,1.0,0.0
0.0,0.926,0.074
0.166,0.834,0.0
0.166,0.834,0.0
0.166,0.834,0.0
0.0,0.946,0.054
0.337,0.663,0.0
0.0,0.907,0.093
0.0,1.0,0.0
0.233,0.767,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.865,0.135
0.0,0.907,0.093
0.0,0.865,0.135
0.0,0.865,0.135
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.907,0.093
0.0,1.0,0.0
0.0,0.792,0.208
0.0,0.907,0.093
0.0,0.865,0.135
0.0,1.0,0.0
0.0,0.907,0.093
0.0,1.0,0.0
0.0,1.0,0.0
0.166,0.834,0.0
0.0,0.865,0.135
0.038,0.644,0.318
0.166,0.834,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.801,0.199
0.056,0.944,0.0
0.0,0.907,0.093
0.189,0.749,0.062
0.0,0.691,0.309
0.064,0.936,0.0
0.038,0.644,0.318
0.322,0.678,0.0
0.0,1.0,0.0
0.0,0.947,0.053
0.2,0.8,0.0
0.0,0.907,0.093
0.166,0.834,0.0
0.156,0.844,0.0
0.0,1.0,0.0
0.0,0.691,0.309
0.189,0.749,0.062
0.0,1.0,0.0
0.0,0.865,0.135
0.098,0.902,0.0
0.142,0.858,0.0
0.132,0.868,0.0
0.132,0.868,0.0
0.0,0.912,0.088
0.129,0.771,0.099
0.137,0.815,0.048
0.07,0.93,0.0
0.192,0.808,0.0
0.14,0.701,0.159
0.0,0.806,0.194
0.0,0.904,0.096
0.07,0.93,0.0
0.132,0.868,0.0
0.132,0.868,0.0
0.232,0.527,0.241
0.0,0.74,0.26
0.139,0.773,0.088
0.11,0.89,0.0
0.389,0.561,0.05
0.0,0.919,0.081
0.0,0.639,0.361
0.139,0.767,0.094
0.037,0.888,0.075
0.0,1.0,0.0
0.07,0.93,0.0
0.107,0.85,0.044
0.07,0.93,0.0
0.0,0.882,0.118
0.21,0.644,0.146
0.129,0.771,0.099
0.099,0.865,0.036
0.0,0.757,0.243
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.255,0.745,0.0
0.192,0.808,0.0
0.0,0.757,0.243
0.213,0.634,0.153
0.212,0.743,0.045
0.0,0.922,0.078
0.233,0.692,0.075
0.252,0.748,0.0
0.192,0.808,0.0
0.0,0.317,0.683
0.0,0.912,0.088
0.07,0.93,0.0
0.081,0.919,0.0
0.11,0.89,0.0
0.153,0.777,0.07
0.213,0.634,0.153
0.07,0.93,0.0
0.0,1.0,0.0
0.097,0.903,0.0
0.0,0.889,0.111
0.0,0.844,0.156
0.244,0.721,0.034
0.16,0.84,0.0
0.0,0.931,0.069
0.196,0.698,0.106
0.0,1.0,0.0
0.0,1.0,0.0
0.076,0.924,0.0
0.139,0.773,0.088
0.0,0.913,0.087
0.255,0.745,0.0
0.0,0.905,0.095
0.062,0.938,0.0
0.0,0.904,0.096
0.056,0.862,0.082
0.0,1.0,0.0
0.0,1.0,0.0
0.158,0.842,0.0
0.136,0.864,0.0
0.136,0.864,0.0
0.309,0.691,0.0
0.093,0.871,0.036
0.122,0.654,0.224
0.07,0.93,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.192,0.808,0.0
0.11,0.89,0.0
0.07,0.93,0.0
0.05,0.95,0.0
0.0,1.0,0.0
0.136,0.864,0.0
0.047,0.83,0.123
0.0,0.688,0.312
0.192,0.808,0.0
0.167,0.833,0.0
0.0,0.877,0.123
0.136,0.864,0.0
0.0,1.0,0.0
0.0,0.917,0.083
0.151,0.849,0.0
0.0,0.726,0.274
0.0,0.821,0.179
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.876,0.124
0.178,0.822,0.0
0.0,0.862,0.138
0.0,1.0,0.0
0.0,0.811,0.189
0.098,0.902,0.0
0.192,0.808,0.0
0.054,0.83,0.116
0.0,0.862,0.138
0.132,0.868,0.0
0.132,0.868,0.0
0.132,0.868,0.0
0.139,0.773,0.088
0.0,1.0,0.0
0.132,0.868,0.0
0.132,0.868,0.0
0.081,0.919,0.0
0.132,0.868,0.0
0.093,0.865,0.042
0.0,0.92,0.08
0.0,0.876,0.124
0.0,1.0,0.0
0.267,0.733,0.0
0.0,0.862,0.138
0.07,0.93,0.0
0.0,0.931,0.069
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.844,0.156
0.072,0.928,0.0
0.396,0.604,0.0
0.07,0.93,0.0
0.0,0.87,0.13
0.242,0.669,0.089
0.198,0.802,0.0
0.062,0.876,0.062
0.0,0.757,0.243
0.0,0.881,0.119
0.0,0.844,0.156
0.228,0.772,0.0
0.07,0.93,0.0
0.259,0.706,0.035
0.081,0.859,0.061
0.0,1.0,0.0
0.093,0.742,0.165
0.0,1.0,0.0
0.098,0.902,0.0
0.0,0.897,0.103
0.0,1.0,0.0
0.267,0.733,0.0
0.098,0.902,0.0
0.192,0.808,0.0
0.242,0.669,0.089
0.076,0.791,0.133
0.07,0.93,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.1,0.9,0.0
0.171,0.829,0.0
0.098,0.902,0.0
0.212,0.743,0.045
0.0,1.0,0.0
0.208,0.472,0.321
0.098,0.671,0.232
0.143,0.857,0.0
0.07,0.93,0.0
0.07,0.93,0.0
0.0,1.0,0.0
0.121,0.799,0.08
0.0,1.0,0.0
0.0,1.0,0.0
0.121,0.799,0.08
0.242,0.669,0.089
0.0,0.9,0.1
0.242,0.669,0.089
0.0,1.0,0.0
0.11,0.89,0.0
0.0,1.0,0.0
0.172,0.828,0.0
0.0,1.0,0.0
0.118,0.735,0.147
0.128,0.872,0.0
0.07,0.93,0.0
0.04,0.916,0.044
0.097,0.903,0.0
0.073,0.927,0.0
0.173,0.793,0.034
0.07,0.93,0.0
0.18,0.75,0.07
0.0,1.0,0.0
0.0,1.0,0.0
0.068,0.839,0.093
0.229,0.725,0.046
0.081,0.919,0.0
0.07,0.93,0.0
0.139,0.861,0.0
0.051,0.895,0.054
0.0,0.9,0.1
0.338,0.623,0.039
0.07,0.93,0.0
0.18,0.82,0.0
0.153,0.847,0.0
0.06,0.893,0.048
0.212,0.743,0.045
0.144,0.72,0.136
0.097,0.903,0.0
0.07,0.93,0.0
0.0,0.905,0.095
0.03,0.97,0.0
0.231,0.769,0.0
0.336,0.664,0.0
0.0,1.0,0.0
0.275,0.725,0.0
0.07,0.93,0.0
0.0,1.0,0.0
0.055,0.905,0.04
0.1,0.9,0.0
0.0,0.945,0.055
0.0,0.9,0.1
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.811,0.189
0.07,0.93,0.0
0.0,0.94,0.06
0.096,0.815,0.089
0.192,0.808,0.0
0.0,0.757,0.243
0.07,0.93,0.0
0.0,1.0,0.0
0.205,0.615,0.18
0.143,0.857,0.0
0.242,0.669,0.089
0.0,0.695,0.305
0.252,0.748,0.0
0.269,0.677,0.054
0.267,0.697,0.036
0.098,0.902,0.0
0.0,1.0,0.0
0.212,0.743,0.045
0.098,0.902,0.0
0.242,0.669,0.089
0.05,0.95,0.0
0.097,0.825,0.078
0.098,0.902,0.0
0.096,0.78,0.124
0.0,1.0,0.0
0.192,0.808,0.0
0.07,0.93,0.0
0.156,0.771,0.073
0.05,0.95,0.0
0.0,1.0,0.0
0.081,0.919,0.0
0.203,0.797,0.0
0.071,0.852,0.077
0.098,0.671,0.232
0.07,0.93,0.0
0.079,0.87,0.052
0.0,1.0,0.0
0.252,0.748,0.0
0.0,1.0,0.0
0.182,0.818,0.0
0.057,0.893,0.05
0.03,0.97,0.0
0.205,0.615,0.18
0.0,0.94,0.06
0.0,1.0,0.0
0.143,0.857,0.0
0.0,1.0,0.0
0.081,0.919,0.0
0.0,0.882,0.118
0.0,0.963,0.037
0.0,1.0,0.0
0.246,0.754,0.0
0.117,0.883,0.0
0.139,0.773,0.088
0.0,1.0,0.0
0.05,0.95,0.0
0.103,0.897,0.0
0.24,0.76,0.0
0.097,0.903,0.0
0.136,0.748,0.116
0.0,1.0,0.0
0.176,0.726,0.098
0.07,0.93,0.0
0.123,0.755,0.123
0.07,0.93,0.0
0.07,0.93,0.0
0.07,0.93,0.0
0.0,0.826,0.174
0.242,0.669,0.089
0.167,0.833,0.0
0.0,1.0,0.0
0.0,0.815,0.185
0.0,1.0,0.0
0.0,1.0,0.0
0.118,0.735,0.147
0.0,0.959,0.041
0.0,1.0,0.0
0.213,0.634,0.153
0.306,0.694,0.0
0.214,0.786,0.0
0.0,0.796,0.204
0.143,0.857,0.0
0.081,0.919,0.0
0.061,0.742,0.197
0.0,1.0,0.0
0.231,0.769,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.117,0.777,0.106
0.405,0.595,0.0
